Country,2015
Afghanistan,627.344
Albania,"3,935.67"
Algeria,"4,150.69"
Angola,"3,876.20"
Antigua and Barbuda,"15,282.67"
Argentina,"14,643.92"
Armenia,"3,529.03"
Australia,"51,220.04"
Austria,"43,705.46"
Azerbaijan,"5,396.41"
The Bahamas,"24,309.57"
Bahrain,"24,062.74"
Bangladesh,"1,293.00"
Barbados,"15,814.70"
Belarus,"5,941.24"
Belgium,"40,509.76"
Belize,"4,757.11"
Benin,763.882
Bhutan,"2,603.10"
Bolivia,"3,099.45"
Bosnia and Herzegovina,"4,186.67"
Botswana,"6,780.97"
Brazil,"8,810.50"
Brunei Darussalam,"30,994.98"
Bulgaria,"7,017.11"
Burkina Faso,616.067
Burundi,318.938
Cabo Verde,"3,042.98"
Cambodia,"1,167.72"
Cameroon,"1,230.37"
Canada,"43,349.62"
Central African Republic,332.366
Chad,946.877
Chile,"13,469.55"
China,"8,166.76"
Colombia,"6,047.97"
Comoros,732.749
Democratic Republic of the Congo,470.151
Republic of Congo,"2,067.09"
Costa Rica,"11,435.97"
CÙte d'Ivoire,"1,381.39"
Croatia,"11,636.95"
Cyprus,"23,105.27"
Czech Republic,"17,728.70"
Denmark,"53,237.28"
Djibouti,"1,788.36"
Dominica,"7,564.37"
Dominican Republic,"6,833.24"
Ecuador,"6,153.80"
Egypt,"3,731.18"
El Salvador,"4,128.73"
Equatorial Guinea,"15,214.59"
Eritrea,741.363
Estonia,"17,192.43"
Ethiopia,720.617
Fiji,"5,017.18"
Finland,"42,501.25"
France,"37,840.08"
Gabon,"7,754.49"
The Gambia,448.158
Georgia,"3,761.91"
Germany,"41,344.65"
Ghana,"1,372.17"
Greece,"17,955.19"
Grenada,"9,342.06"
Guatemala,"3,923.56"
Guinea,709.858
Guinea-Bissau,639.508
Guyana,"4,150.57"
Haiti,809.672
Honduras,"2,567.05"
Hong Kong SAR,"42,328.11"
Hungary,"12,343.72"
Iceland,"50,472.94"
India,"1,629.00"
Indonesia,"3,370.93"
Islamic Republic of Iran,"4,723.48"
Iraq,"4,869.21"
Ireland,"62,344.68"
Israel,"35,705.41"
Italy,"30,032.11"
Jamaica,"5,052.68"
Japan,"34,493.26"
Jordan,"5,505.70"
Kazakhstan,"10,434.76"
Kenya,"1,447.85"
Kiribati,"1,520.51"
Korea,"27,105.08"
Kosovo,"3,505.77"
Kuwait,"27,884.76"
Kyrgyz Republic,"1,109.43"
Lao P.D.R.,"2,212.40"
Latvia,"13,614.47"
Lebanon,"11,177.53"
Lesotho,"1,243.92"
Liberia,474.343
Libya,"2,813.20"
Lithuania,"14,259.60"
Luxembourg,"103,157.09"
Macao SAR,"70,214.90"
FYR Macedonia,"4,854.21"
Madagascar,402.067
Malawi,353.728
Malaysia,"9,505.32"
Maldives,"11,542.61"
Mali,740.364
Malta,"23,969.57"
Marshall Islands,"3,330.67"
Mauritania,"1,307.15"
Mauritius,"9,114.97"
Mexico,"9,522.40"
Micronesia,"3,079.22"
Moldova,"1,828.37"
Mongolia,"3,946.25"
Montenegro,"6,464.74"
Morocco,"2,965.17"
Mozambique,528.934
Myanmar,"1,147.34"
Namibia,"5,076.05"
Nauru,"8,055.54"
Nepal,750.897
Netherlands,"44,776.58"
New Zealand,"37,300.53"
Nicaragua,"2,095.96"
Niger,409.215
Nigeria,"2,763.20"
Norway,"74,264.43"
Oman,"18,485.32"
Pakistan,"1,424.95"
Palau,"16,642.53"
Panama,"13,113.71"
Papua New Guinea,"2,712.04"
Paraguay,"4,038.42"
Peru,"6,174.07"
Philippines,"2,866.36"
Poland,"12,559.41"
Portugal,"19,221.87"
Puerto Rico,"29,688.57"
Qatar,"67,537.19"
Romania,"8,934.01"
Russia,"9,521.08"
Rwanda,732.372
Samoa,"4,147.73"
San Marino,"46,185.02"
S„o TomÈ and PrÌncipe,"1,566.70"
Saudi Arabia,"21,094.59"
Senegal,903.631
Serbia,"5,237.25"
Seychelles,"14,782.72"
Sierra Leone,672.891
Singapore,"53,628.76"
Slovak Republic,"16,105.15"
Slovenia,"20,890.30"
Solomon Islands,"1,971.55"
Somalia,
South Africa,"5,800.33"
South Sudan,"1,049.77"
Spain,"25,717.56"
Sri Lanka,"3,769.53"
St. Kitts and Nevis,"15,765.53"
St. Lucia,"9,513.91"
St. Vincent and the Grenadines,"6,865.65"
Sudan,"2,118.98"
Suriname,"8,767.97"
Swaziland,"3,511.76"
Sweden,"50,319.11"
Switzerland,"82,441.51"
Syria,n/a
Taiwan Province of China,"22,358.02"
Tajikistan,926.877
Tanzania,956.906
Thailand,"5,799.19"
Timor-Leste,"2,618.53"
Togo,569.764
Tonga,"3,955.50"
Trinidad and Tobago,"17,321.77"
Tunisia,"3,884.35"
Turkey,"10,914.88"
Turkmenistan,"6,690.38"
Tuvalu,"3,280.97"
Uganda,710.25
Ukraine,"2,135.18"
United Arab Emirates,"37,361.17"
United Kingdom,"43,976.42"
United States,"56,436.71"
Uruguay,"15,365.96"
Uzbekistan,"2,111.74"
Vanuatu,"2,908.64"
Venezuela,"7,922.70"
Vietnam,"2,087.53"
Yemen,"1,334.12"
Zambia,"1,310.35"
Zimbabwe,"1,137.07"
,
"International Monetary Fund, World Economic Outlook Database, October 2017",
